"Statistic","Year","Region","UNIT","VALUE"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2001","Dublin and Mid-East","Euro Million","17254"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2001","Mid-East","Euro Million","6117"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2001","Midland","Euro Million","1416"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","State","Euro Million","47742"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Northern and Western","Euro Million","5609"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Border","Euro Million","2369"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","West","Euro Million","3239"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Southern","Euro Million","23303"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Mid-West","Euro Million","4824"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","South-East","Euro Million","2881"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","South-West","Euro Million","15598"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Eastern and Midland","Euro Million","18830"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Dublin","Euro Million","9935"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Dublin and Mid-East","Euro Million","17599"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Mid-East","Euro Million","7664"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2002","Midland","Euro Million","1232"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","State","Euro Million","46962"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Northern and Western","Euro Million","5333"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Border","Euro Million","2512"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","West","Euro Million","2822"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Southern","Euro Million","23637"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Mid-West","Euro Million","6010"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","South-East","Euro Million","3705"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","South-West","Euro Million","13921"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Eastern and Midland","Euro Million","17992"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Dublin","Euro Million","9754"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Dublin and Mid-East","Euro Million","16331"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Mid-East","Euro Million","6577"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2003","Midland","Euro Million","1661"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","State","Euro Million","48075"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Northern and Western","Euro Million","5907"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Border","Euro Million","2325"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","West","Euro Million","3581"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Southern","Euro Million","21974"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Mid-West","Euro Million","6113"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","South-East","Euro Million","3400"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","South-West","Euro Million","12460"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Eastern and Midland","Euro Million","20195"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Dublin","Euro Million","10987"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Dublin and Mid-East","Euro Million","18282"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Mid-East","Euro Million","7296"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2004","Midland","Euro Million","1912"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","State","Euro Million","51150"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Northern and Western","Euro Million","6200"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Border","Euro Million","2500"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","West","Euro Million","3700"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Southern","Euro Million","22403"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Mid-West","Euro Million","5791"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","South-East","Euro Million","3415"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","South-West","Euro Million","13197"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Eastern and Midland","Euro Million","22547"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Dublin","Euro Million","13121"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Dublin and Mid-East","Euro Million","20660"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Mid-East","Euro Million","7539"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2005","Midland","Euro Million","1887"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","State","Euro Million","55623"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Northern and Western","Euro Million","7499"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Border","Euro Million","3240"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","West","Euro Million","4259"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Southern","Euro Million","24167"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Mid-West","Euro Million","5879"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","South-East","Euro Million","3944"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","South-West","Euro Million","14345"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Eastern and Midland","Euro Million","23957"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Dublin","Euro Million","12419"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Dublin and Mid-East","Euro Million","21369"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Mid-East","Euro Million","8950"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2006","Midland","Euro Million","2588"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","State","Euro Million","56217"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Northern and Western","Euro Million","7040"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Border","Euro Million","2886"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","West","Euro Million","4155"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Southern","Euro Million","25924"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Mid-West","Euro Million","6381"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","South-East","Euro Million","4070"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","South-West","Euro Million","15473"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Eastern and Midland","Euro Million","23252"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Dublin","Euro Million","11780"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Dublin and Mid-East","Euro Million","20956"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Mid-East","Euro Million","9176"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2007","Midland","Euro Million","2296"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","State","Euro Million","48554"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Northern and Western","Euro Million","6478"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Border","Euro Million","2629"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","West","Euro Million","3849"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Southern","Euro Million","21987"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Mid-West","Euro Million","5405"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","South-East","Euro Million","3617"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","South-West","Euro Million","12965"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Eastern and Midland","Euro Million","20089"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Dublin","Euro Million","10369"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Dublin and Mid-East","Euro Million","18302"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Mid-East","Euro Million","7932"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2008","Midland","Euro Million","1788"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","State","Euro Million","43416"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Northern and Western","Euro Million","4710"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Border","Euro Million","1690"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","West","Euro Million","3020"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Southern","Euro Million","20251"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Mid-West","Euro Million","4509"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","South-East","Euro Million","2255"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","South-West","Euro Million","13487"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Eastern and Midland","Euro Million","18455"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Dublin","Euro Million","9838"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Dublin and Mid-East","Euro Million","17110"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Mid-East","Euro Million","7272"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2009","Midland","Euro Million","1346"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","State","Euro Million","39068"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Northern and Western","Euro Million","5600"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Border","Euro Million","1712"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","West","Euro Million","3888"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Southern","Euro Million","18648"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Mid-West","Euro Million","4243"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","South-East","Euro Million","1815"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","South-West","Euro Million","12590"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Eastern and Midland","Euro Million","14820"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Dublin","Euro Million","9063"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Dublin and Mid-East","Euro Million","13829"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Mid-East","Euro Million","4766"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2010","Midland","Euro Million","991"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","State","Euro Million","42188"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Northern and Western","Euro Million","7315"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Border","Euro Million","2244"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","West","Euro Million","5071"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Southern","Euro Million","22304"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Mid-West","Euro Million","4940"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","South-East","Euro Million","2070"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","South-West","Euro Million","15295"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Eastern and Midland","Euro Million","12568"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Dublin","Euro Million","8048"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Dublin and Mid-East","Euro Million","11578"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Mid-East","Euro Million","3530"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2011","Midland","Euro Million","990"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","State","Euro Million","42891"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Northern and Western","Euro Million","7164"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Border","Euro Million","2197"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","West","Euro Million","4966"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Southern","Euro Million","22888"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Mid-West","Euro Million","5319"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","South-East","Euro Million","2273"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","South-West","Euro Million","15297"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Eastern and Midland","Euro Million","12839"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Dublin","Euro Million","8325"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Dublin and Mid-East","Euro Million","11871"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Mid-East","Euro Million","3546"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2012","Midland","Euro Million","968"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","State","Euro Million","43737"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Northern and Western","Euro Million","7131"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Border","Euro Million","2225"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","West","Euro Million","4906"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Southern","Euro Million","20750"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Mid-West","Euro Million","4443"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","South-East","Euro Million","3639"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","South-West","Euro Million","12668"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Eastern and Midland","Euro Million","15856"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Dublin","Euro Million","10816"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Dublin and Mid-East","Euro Million","14836"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Mid-East","Euro Million","4020"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2013","Midland","Euro Million","1020"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","State","Euro Million","48392"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Northern and Western","Euro Million","7433"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Border","Euro Million","1908"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","West","Euro Million","5525"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Southern","Euro Million","21399"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Mid-West","Euro Million","3413"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","South-East","Euro Million","2560"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","South-West","Euro Million","15427"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Eastern and Midland","Euro Million","19559"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Dublin","Euro Million","13934"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Dublin and Mid-East","Euro Million","18307"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Mid-East","Euro Million","4373"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2014","Midland","Euro Million","1252"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","State","Euro Million","100993"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Northern and Western","Euro Million","8339"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Border","Euro Million","2064"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","West","Euro Million","6274"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Southern","Euro Million","67494"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Mid-West","Euro Million",""
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","South-East","Euro Million","3669"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","South-West","Euro Million",""
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Eastern and Midland","Euro Million","25161"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Dublin","Euro Million","14345"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Dublin and Mid-East","Euro Million","22938"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Mid-East","Euro Million","8593"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2015","Midland","Euro Million","2223"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","State","Euro Million","100400"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Northern and Western","Euro Million","7387"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Border","Euro Million","1827"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","West","Euro Million","5560"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Southern","Euro Million","58912"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Mid-West","Euro Million",""
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","South-East","Euro Million","4462"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","South-West","Euro Million",""
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Eastern and Midland","Euro Million","34102"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Dublin","Euro Million","21811"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Dublin and Mid-East","Euro Million","32262"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Mid-East","Euro Million","10450"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2016","Midland","Euro Million","1840"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","State","Euro Million","107449"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Northern and Western","Euro Million","8247"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Border","Euro Million","2665"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","West","Euro Million","5582"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Southern","Euro Million","66332"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Mid-West","Euro Million",""
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","South-East","Euro Million","4394"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","South-West","Euro Million",""
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Eastern and Midland","Euro Million","32871"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Dublin","Euro Million","21776"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Dublin and Mid-East","Euro Million","30939"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Mid-East","Euro Million","9163"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2017","Midland","Euro Million","1931"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","State","Euro Million","120748"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Northern and Western","Euro Million","9242"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Border","Euro Million","2766"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","West","Euro Million","6475"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Southern","Euro Million","77736"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Mid-West","Euro Million","13771"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","South-East","Euro Million","8047"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","South-West","Euro Million","55918"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Eastern and Midland","Euro Million","33770"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Dublin","Euro Million","20857"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Dublin and Mid-East","Euro Million","31849"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Mid-East","Euro Million","10992"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2018","Midland","Euro Million","1921"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","State","Euro Million","127818"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Northern and Western","Euro Million","9776"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Border","Euro Million","2952"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","West","Euro Million","6824"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Southern","Euro Million","86878"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Mid-West","Euro Million","18182"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","South-East","Euro Million","12476"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","South-West","Euro Million","56220"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Eastern and Midland","Euro Million","31164"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Dublin","Euro Million","17517"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Dublin and Mid-East","Euro Million","29489"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Mid-East","Euro Million","11972"
"GVA at Basic Prices - Manufacturing, Building and Construction (Euro Million)","2019","Midland","Euro Million","1675"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","State","Euro Million","59827"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Northern and Western","Euro Million","6798"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Border","Euro Million","2924"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","West","Euro Million","3874"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Southern","Euro Million","15472"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Mid-West","Euro Million","4780"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","South-East","Euro Million","3545"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","South-West","Euro Million","7147"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Eastern and Midland","Euro Million","37556"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Dublin","Euro Million","30008"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Dublin and Mid-East","Euro Million","35335"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Mid-East","Euro Million","5326"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2000","Midland","Euro Million","2221"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","State","Euro Million","64768"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Northern and Western","Euro Million","7554"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Border","Euro Million","3237"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","West","Euro Million","4316"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Southern","Euro Million","16608"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Mid-West","Euro Million","5141"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","South-East","Euro Million","3817"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","South-West","Euro Million","7651"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Eastern and Midland","Euro Million","40606"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Dublin","Euro Million","32430"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Dublin and Mid-East","Euro Million","38189"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Mid-East","Euro Million","5759"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2001","Midland","Euro Million","2416"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","State","Euro Million","70502"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Northern and Western","Euro Million","8343"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Border","Euro Million","3593"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","West","Euro Million","4750"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Southern","Euro Million","18150"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Mid-West","Euro Million","5629"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","South-East","Euro Million","4204"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","South-West","Euro Million","8318"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Eastern and Midland","Euro Million","44009"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Dublin","Euro Million","35039"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Dublin and Mid-East","Euro Million","41322"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Mid-East","Euro Million","6283"
"GVA at Basic Prices - Market and Non Market Services (Euro Million)","2002","Midland","Euro Million","2687"
